Team,Home,Win,Opp,Diff,Game,Year,Week
49ers,1,,Panthers,,1,2018,1
49ers,0,,Seahawks,,2,2018,2
49ers,1,,Rams,,3,2018,3
49ers,0,,Cardinals,,4,2018,4
49ers,0,,Colts,,5,2018,5
49ers,0,,Redskins,,6,2018,6
49ers,1,,Cowboys,,7,2018,7
49ers,0,,Eagles,,8,2018,8
49ers,1,,Cardinals,,9,2018,9
49ers,1,,Giants,,10,2018,10
49ers,1,,Seahawks,,11,2018,12
49ers,0,,Bears,,12,2018,13
49ers,0,,Texans,,13,2018,14
49ers,1,,Titans,,14,2018,15
49ers,1,,Jaguars,,15,2018,16
49ers,0,,Rams,,16,2018,17
Bears,1,,Falcons,,1,2018,1
Bears,0,,Buccaneers,,2,2018,2
Bears,1,,Steelers,,3,2018,3
Bears,0,,Packers,,4,2018,4
Bears,1,,Vikings,,5,2018,5
Bears,0,,Ravens,,6,2018,6
Bears,1,,Panthers,,7,2018,7
Bears,0,,Saints,,8,2018,8
Bears,1,,Packers,,9,2018,10
Bears,1,,Lions,,10,2018,11
Bears,0,,Eagles,,11,2018,12
Bears,1,,49ers,,12,2018,13
Bears,0,,Bengals,,13,2018,14
Bears,0,,Lions,,14,2018,15
Bears,1,,Browns,,15,2018,16
Bears,0,,Vikings,,16,2018,17
Bengals,1,,Ravens,,1,2018,1
Bengals,1,,Texans,,2,2018,2
Bengals,0,,Packers,,3,2018,3
Bengals,0,,Browns,,4,2018,4
Bengals,1,,Bills,,5,2018,5
Bengals,0,,Steelers,,6,2018,7
Bengals,1,,Colts,,7,2018,8
Bengals,0,,Jaguars,,8,2018,9
Bengals,0,,Titans,,9,2018,10
Bengals,0,,Broncos,,10,2018,11
Bengals,1,,Browns,,11,2018,12
Bengals,1,,Steelers,,12,2018,13
Bengals,1,,Bears,,13,2018,14
Bengals,0,,Vikings,,14,2018,15
Bengals,1,,Lions,,15,2018,16
Bengals,0,,Ravens,,16,2018,17
Bills,1,,Jets,,1,2018,1
Bills,0,,Panthers,,2,2018,2
Bills,1,,Broncos,,3,2018,3
Bills,0,,Falcons,,4,2018,4
Bills,0,,Bengals,,5,2018,5
Bills,1,,Buccaneers,,6,2018,7
Bills,1,,Raiders,,7,2018,8
Bills,0,,Jets,,8,2018,9
Bills,1,,Saints,,9,2018,10
Bills,0,,Chargers,,10,2018,11
Bills,0,,Chiefs,,11,2018,12
Bills,1,,Patriots,,12,2018,13
Bills,1,,Colts,,13,2018,14
Bills,1,,Dolphins,,14,2018,15
Bills,0,,Patriots,,15,2018,16
Bills,0,,Dolphins,,16,2018,17
