Name,INJ_1,INJ_2,INJ_3,INJ_4,INJ_5,INJ_6,INJ_7,INJ_8,INJ_9,INJ_10,INJ_11,INJ_12,INJ_13,INJ_14,INJ_15,INJ_16,Team,Year
Isa Abdul-Quddus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dolphins,2017
Jay Ajayi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Branden Albert,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Dolphins,2017
Kiko Alonso,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Dolphins,2017
Jermon Bushrod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Jordan Cameron,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Dolphins,2017
Chimdi Chekwa,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Dolphins,2017
Chris Culliver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dolphins,2017
Kenyan Drake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Ifo Ekpre-Olomu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dolphins,2017
Terrence Fede,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Arian Foster,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Xavien Howard,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,Dolphins,2017
Jelani Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Jason Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Reshad Jones,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,Dolphins,2017
Dion Jordan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dolphins,2017
Jarvis Landry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Tony Lippett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Byron Maxwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dolphins,2017
Bobby McCain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Koa Misi,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Dolphins,2017
Earl Mitchell,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Dolphins,2017
Matt Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
DeVante Parker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Spencer Paysinger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Isaiah Pead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Jordan Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Mike Pouncey,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,Dolphins,2017
Bacarri Rambo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Dion Sims,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Dolphins,2017
Anthony Steen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Kenny Stills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Ndamukong Suh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Ryan Tannehill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dolphins,2017
Laremy Tunsil,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dolphins,2017
Kraig Urbik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dolphins,2017
Zach Vigil,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Dolphins,2017
Mario Williams,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Dolphins,2017
Antonio Allen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Jets,2017
Robby Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Braedon Bowman,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,Jets,2017
Juston Burris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Bruce Carter,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Jets,2017
Mike Catapano,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Jets,2017
Jake Ceresna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jets,2017
Ryan Clady,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Jets,2017
Kellen Davis,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Jets,2017
Eric Decker,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Jets,2017
Quincy Enunwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Matt Forte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jets,2017
Breno Giacomini,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Jets,2017
Marcus Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Jets,2017
David Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Erin Henderson,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,Jets,2017
Jordan Jenkins,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Darron Lee,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Jets,2017
Nick Mangold,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,Jets,2017
Brandon Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jets,2017
Jalin Marshall,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Jets,2017
Nick Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jets,2017
Lorenzo Mauldin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Jets,2017
Steve McLendon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Jets,2017
Dee Milliner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jets,2017
Romar Morris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jets,2017
Julien Obioha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jets,2017
Bryce Petty,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Jets,2017
Bilal Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Brent Qvale,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Jets,2017
Darrelle Revis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Sheldon Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Darryl Roberts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Khiry Robinson,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Jets,2017
Austin Seferian-Jenkins,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Jets,2017
Brandon Shell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Buster Skrine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jets,2017
Devin Smith,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Jets,2017
Geno Smith,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,Jets,2017
Julian Stanford,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Jets,2017
Lawrence Thomas,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Jets,2017
Brandon Wilds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Muhammad Wilkerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jets,2017
Brian Winters,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Jets,2017
Danny Amendola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Patriots,2017
Martellus Bennett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
LeGarrette Blount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Brandon Bolden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Tom Brady,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Jacoby Brissett,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Patriots,2017
Malcolm Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Marcus Cannon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Jonathan Cooper,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Julian Edelman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Trey Flowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Jonathan Freeny,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Patriots,2017
Jimmy Garoppolo,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Rob Gronkowski,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Patriots,2017
Woodrow Hamilton,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Patriots,2017
Dont'a Hightower,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Patriots,2017
Chris Hogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Tre' Jackson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Patriots,2017
Cyrus Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Patriots,2017
Jonathan Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Dion Lewis,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Patriots,2017
Shaq Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Shea McClellin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Malcolm Mitchell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Patriots,2017
Jordan Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Elandon Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Eric Rowe,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Greg Scruggs,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Patriots,2017
Jabaal Sheard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Matt Slater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Patriots,2017
Nate Solder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Joe Thuney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Vincent Valentine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Patriots,2017
Sebastian Vollmer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Patriots,2017
Michael Williams,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Patriots,2017
Lorenzo Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Colt Anderson,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Blake Annen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Robert Blanton,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Bills,2017
Preston Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Zach Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Corbin Bryant,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Bills,2017
Charles Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Ronald Darby,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Marcell Dareus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bills,2017
Jonathan Dowling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Jim Dray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
