Name,Team,OVR,Position2,Wins,Year
A.J. Bouye,Texans,73,DB,9,2017
A.J. Bouye,Texans,73,DB,9,2016
A.J. Bouye,Texans,73,DB,9,2015
A.J. Bouye,Jaguars,88,DB,NA,2018
A.J. Cann,Jaguars,69,OL,3,2017
A.J. Cann,Jaguars,73,OL,5,2016
A.J. Cann,Jaguars,72,OL,NA,2018
A.J. Davis,Saints,61,DB,7,2015
A.J. Davis,Saints,60,DB,11,2014
A.J. Derby,Patriots,63,WR,12,2016
A.J. Derby,Broncos,73,WR,NA,2018
A.J. Edds,Jaguars,66,LB,3,2015
A.J. Edds,Patriots,65,LB,12,2014
A.J. Edds,Colts,65,LB,11,2013
A.J. Francis,Dolphins,62,DL,6,2016
A.J. Francis,Dolphins,60,DL,8,2015
A.J. Francis,Redskins,55,DL,NA,2018
A.J. Green,Bengals,93,WR,6.5,2017
A.J. Green,Bengals,92,WR,12,2016
A.J. Green,Bengals,95,WR,10.5,2015
A.J. Green,Bengals,94,WR,11,2014
A.J. Green,Bengals,89,WR,10,2013
A.J. Green,Bengals,94,WR,NA,2018
A.J. Greene,Bears,61,OL,10,2013
A.J. Hawk,Bengals,77,LB,12,2016
A.J. Hawk,Packers,79,LB,12,2015
A.J. Hawk,Packers,84,LB,8.5,2014
A.J. Hawk,Packers,83,LB,11,2013
A.J. Hendy,Dolphins,60,DB,NA,2018
A.J. Jefferson,Vikings,71,DB,5.5,2014
A.J. Jefferson,Cardinals,74,DB,5,2013
A.J. Jefferson,Rams,63,DL,NA,2018
A.J. Jenkins,Cowboys,68,WR,4,2016
A.J. Jenkins,Chiefs,69,WR,9,2015
A.J. Jenkins,49ers,71,WR,12,2014
A.J. Jenkins,49ers,69,WR,11.5,2013
A.J. Klein,Panthers,74,LB,6,2017
A.J. Klein,Panthers,74,LB,15,2016
A.J. Klein,Panthers,75,LB,7.5,2015
A.J. Klein,Panthers,67,LB,12,2014
A.J. Klein,Saints,72,LB,NA,2018
A.J. McCarron,Bengals,73,QB,6.5,2017
A.J. McCarron,Bengals,72,QB,12,2016
A.J. McCarron,Bengals,72,QB,10.5,2015
A.J. McCarron,Bengals,73,QB,NA,2018
A.J. Tarpley,Bills,64,LB,8,2016
A.Q. Shipley,Cardinals,71,OL,7.5,2017
A.Q. Shipley,Cardinals,77,OL,13,2016
A.Q. Shipley,Colts,70,OL,11,2015
A.Q. Shipley,Ravens,73,OL,8,2014
A.Q. Shipley,Colts,65,OL,11,2013
A.Q. Shipley,Cardinals,80,OL,NA,2018
Aarion Penton,Rams,61,DB,NA,2018
